ID,First_Name,Last_Name,Pos1,Pos2,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
hernade01,Dewan,Hernandez,C,C,23,TOR,6,0,28,8.5,23.8,0.357,1.7,3.4,0.5,6.8,20.4,0.333,5.1,8.5,0.6,8.5,15.3,23.8,5.1,1.7,0,5.1,10.2,23.8,95,101,12.9,0.432,0.143,0.357,19.3,33.2,26.4,16.4,1.7,0,15.6,29.3,0,0.1,0,0.043,-6.6,-3,-9.6,-0.1,898310
hernaju01,Juan,Hernangomez,PF,SF,24,DEN,34,0,422,4.5,12.9,0.345,1.8,7,0.25,2.7,5.9,0.46,1.9,2.9,0.64,2.8,8.3,11.1,2.6,0.6,0.6,2.1,3.4,12.5,95,113,6.9,0.442,0.545,0.227,6.4,18.8,12.6,6.7,0.6,1.1,12.9,14.3,-0.2,0.3,0.1,0.007,-4,-1.2,-5.2,-0.3,3321030
hernaju01,Juan,Hernangomez,PF,SF,24,MIN,14,14,411,7,15.5,0.453,3.3,7.8,0.42,3.7,7.7,0.485,3.2,5.2,0.609,2.1,9.4,11.5,2,1.6,0.5,1.6,4,20.4,114,112,14.1,0.576,0.504,0.336,4.7,22.1,13.1,6.4,1.6,0.8,8.2,17.1,0.5,0.4,0.8,0.098,-0.4,-1,-1.5,0.1,3321030
hernawi01,Willy,Hernangomez,C,C,25,CHO,31,0,375,9.9,18.6,0.532,0.7,2.9,0.227,9.2,15.6,0.59,4.9,7.9,0.627,5.7,12.2,17.9,3.9,1.3,0.9,4,4.3,25.4,110,110,19.2,0.576,0.158,0.424,12.1,27.5,19.5,13.5,1.3,1.7,15.4,22.9,0.4,0.4,0.8,0.107,0.6,-0.5,0.1,0.2,1676735
herroty01,Tyler,Herro,SG,SF,20,MIA,55,8,1508,8.7,20.4,0.428,3.8,9.6,0.389,5,10.8,0.462,2.8,3.2,0.87,0.5,6.7,7.3,3.9,1.1,0.3,2.8,2.5,24.1,103,112,12.5,0.55,0.472,0.158,1.2,14.9,8.3,12.7,1.1,0.6,11.4,22.3,0.2,1.3,1.6,0.05,-0.4,-1.2,-1.6,0.1,3640200
herveke01,Kevin,Hervey,PF,SF,23,OKC,10,0,52,6.5,25.2,0.259,2.8,18.7,0.15,3.7,6.5,0.571,0,0,0,0.9,10.3,11.2,4.7,0.9,0.9,0,3.7,15.9,78,109,5,0.315,0.741,0,2.2,22.7,12.7,13.9,0.9,1.7,0,22.8,-0.2,0.1,-0.1,-0.085,-4,-1.1,-5.1,0,79568
hezonma01,Mario,Hezonja,SF,SG,24,POR,53,4,871,5,11.9,0.422,1.3,4.3,0.308,3.7,7.7,0.486,2.6,3.2,0.814,1.6,8.4,10.1,2.7,2,0.5,2.3,5.9,14,104,113,9.5,0.525,0.358,0.271,3.6,18.3,11,7.5,2,0.9,14.7,13.9,0.1,0.6,0.8,0.043,-3.1,0.2,-2.9,-0.2,1737145
hieldbu01,Buddy,Hield,SG,SF,27,SAC,72,44,2216,10.9,25.4,0.429,5.9,15.1,0.394,5,10.4,0.479,2.5,3,0.846,1.2,5.9,7.2,4.7,1.4,0.4,3.7,3.6,30.3,106,114,16,0.566,0.592,0.117,2.8,14.1,8.3,15.5,1.4,0.7,12.1,27.2,1.4,1.5,3,0.064,2.5,-1.4,1.1,1.7,4861208
hillge01,George,Hill,PG,SG,33,MIL,59,2,1271,7,13.5,0.516,2.9,6.3,0.46,4.1,7.2,0.565,3.1,3.6,0.842,1.8,4.6,6.4,6.5,1.7,0.2,2,3,19.9,131,106,16.9,0.659,0.468,0.269,4.1,9.3,6.9,19,1.7,0.3,11.9,15.5,3.5,2.1,5.5,0.21,1.6,1.3,2.9,1.6,9133907
hillso01,Solomon,Hill,SF,SG,28,MEM,48,3,901,5,12.1,0.412,2.9,7.6,0.381,2.1,4.5,0.465,1.3,2,0.684,1.2,6.2,7.5,4.9,1.6,0.4,2.1,3.8,14.2,109,112,10.2,0.549,0.631,0.163,2.9,13.8,8.4,13.4,1.6,0.7,13.8,13.4,0.5,0.8,1.4,0.072,-1.7,0.2,-1.4,0.1,13258781
hillso01,Solomon,Hill,SF,SG,28,MIA,11,1,187,3.7,11.7,0.311,1.8,6.3,0.292,1.8,5.5,0.333,3.7,4.2,0.875,1.3,4.2,5.5,2.6,3.1,1.3,2.9,3.1,12.8,91,107,8.1,0.471,0.533,0.356,3.1,9.2,6.3,7.3,3.1,2.7,17.4,14.8,-0.2,0.3,0.1,0.023,-3.8,0.9,-2.9,0,13258781
hoardja01,Jaylen,Hoard,SF,PF,20,POR,13,0,103,6.9,14.8,0.469,0,1.4,0,6.9,13.4,0.517,3.7,6,0.615,6.5,8.3,14.8,1.9,2.3,0,1.9,5.6,17.6,113,113,14.9,0.504,0.094,0.406,14.4,18.1,16.2,5.3,2.3,0,9.6,17.2,0.1,0.1,0.2,0.093,-0.8,-1.1,-1.9,0,79568
holidaa01,Aaron,Holiday,PG,PG,23,IND,66,33,1617,7,16.9,0.414,2.6,6.6,0.394,4.4,10.3,0.427,2.2,2.6,0.851,0.7,4,4.7,6.8,1.7,0.5,2.6,3.6,18.8,104,110,11.6,0.521,0.393,0.155,1.5,9,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,0.063,-1.6,0,-1.6,0.2,2239200
holidjr01,Jrue,Holiday,SG,PG,29,NOP,61,61,2117,10,22,0.455,2.7,7.6,0.353,7.3,14.4,0.509,2.8,4,0.709,1.7,4.7,6.4,8.9,2.2,1,4,3.2,25.5,108,112,17,0.537,0.344,0.181,3.8,10.9,7.3,29.1,2.2,1.9,14.5,24.5,2,1.9,3.9,0.088,1.6,0.2,1.8,2,26131111
holidju01,Justin,Holiday,SG,PG,30,IND,73,6,1826,5.5,12.9,0.428,3.6,8.8,0.405,2,4.1,0.477,1.4,1.8,0.791,0.9,5.5,6.3,2.5,2.3,1.2,1.2,3.6,16,114,107,12.1,0.585,0.681,0.138,1.9,12.2,7.1,6.7,2.3,2.2,7.9,13.4,1.6,2.6,4.2,0.112,-0.5,1.8,1.3,1.5,4767000
holliro01,Rondae,Hollis-Jefferson,SF,PF,25,TOR,60,6,1122,6.6,13.9,0.471,0.1,1,0.13,6.4,13,0.497,4.5,6.1,0.734,4.7,7.3,12,4.5,2,1,2.5,4.9,17.7,114,104,15.1,0.533,0.07,0.435,10.6,15.9,13.3,13.6,2,2,13.1,17.2,1.4,2,3.4,0.146,-1.2,1.5,0.3,0.6,2500000
holmeri01,Richaun,Holmes,C,PF,26,SAC,44,38,1242,8.7,13.4,0.648,0,0,0,8.7,13.4,0.648,3.6,4.6,0.788,5,9,14,1.6,1.6,2.2,2,6.6,21.1,131,109,19.7,0.681,0,0.343,11.2,21.5,16.2,5.1,1.6,4.3,11.6,15.6,3.4,1.5,4.9,0.19,0.3,0.6,1,0.9,4767000
hoodro01,Rodney,Hood,SF,SG,27,POR,21,21,619,6.7,13.2,0.506,2.7,5.5,0.493,4,7.8,0.515,1.6,2.1,0.778,0.8,4.8,5.5,2.5,1.3,0.3,1.5,3.5,17.7,121,117,12.2,0.625,0.413,0.157,1.7,10.4,6.1,7,1.3,0.6,9.4,13.9,0.9,0.2,1.1,0.084,-0.4,-0.5,-0.9,0.2,5718000
horfoal01,Al,Horford,C,PF,33,PHI,67,61,2025,7.6,17,0.45,2.4,6.8,0.35,5.3,10.2,0.516,1.5,1.9,0.763,2.5,8.4,10.9,6.5,1.2,1.5,1.9,3.4,19.1,115,109,15.7,0.536,0.399,0.113,5.6,19.3,12.4,19.2,1.2,2.6,9.7,17.5,2.8,2.6,5.4,0.128,1.3,1,2.2,2.2,28000000
hortota01,Talen,Horton-Tucker,SG,SF,19,LAL,6,1,81,8.2,17.6,0.467,2.3,7.6,0.308,5.9,10,0.588,1.2,2.3,0.5,1.2,2.9,4.1,3.5,4.7,0.6,3.5,5.9,20,97,103,12.3,0.535,0.433,0.133,2.7,6.7,4.7,10.5,4.7,1.1,15.9,19.7,0,0.2,0.1,0.07,-4,2,-2.1,0,898310
houseda01,Danuel,House,SF,PF,26,HOU,63,52,1913,5.6,13,0.427,3.1,8.6,0.363,2.4,4.5,0.549,1.8,2.2,0.811,1.4,5.1,6.5,2.1,1.6,0.8,1.3,3.2,16,114,112,11.3,0.572,0.659,0.167,3.1,11.6,7.3,6.1,1.6,1.5,8.5,13.7,1.9,1.8,3.6,0.091,-0.8,0,-0.7,0.6,3540000
howardw01,Dwight,Howard,C,C,34,LAL,69,2,1306,7.4,10.1,0.729,0.1,0.2,0.6,7.2,9.9,0.732,4,7.8,0.514,6.3,12.2,18.5,1.6,1.1,2.9,3.1,8.1,18.8,125,103,18.7,0.696,0.018,0.773,14.6,27.8,21.2,4.8,1.1,5.4,18.5,14.7,2.8,2.6,5.4,0.197,-1,1.2,0.2,0.7,2564753
howarwi01,William,Howard,PF,SF,26,HOU,2,0,13,0,14.2,0,0,14.2,0,0,0,0,0,0,0,0,7.1,7.1,3.6,0,0,3.6,3.6,0,14,115,-12.7,0,1,0,0,16.3,8.1,9.1,0,0,20,15.9,-0.1,0,-0.1,-0.357,-14.2,-5.4,-19.6,-0.1,50000
huertke01,Kevin,Huerter,SG,SF,21,ATL,56,48,1760,6.7,16.1,0.413,3.4,8.8,0.38,3.3,7.3,0.453,1.4,1.7,0.828,0.9,5.1,6,5.6,1.4,0.7,2.3,3.7,18.1,107,116,11.5,0.536,0.548,0.105,2.1,12,7,17.5,1.4,1.3,12,17.1,1,0.6,1.6,0.043,-0.7,-0.9,-1.6,0.2,2636280
